date,id,tweet
Tue Dec 31 09:50:48 +0000 2019,72898202,#CastroValley Westbound #I580 before Eden Canyon Rd. Accident involving 4 cars is blocking traffic. There's also debris in the roadway. #KCBSTraffic
Tue Dec 31 08:00:22 +0000 2019,72898202,#BayBridge Westbound #I80 past the Treasure Island exit. CHP running a traffic break so they can safely clear a stall off the bridge. #KCBSTraffic
Tue Dec 31 07:25:32 +0000 2019,72898202,#BayBridge Eastbound #I80 before the Toll Plaza. All lanes are now clear. #KCBSTraffic
Tue Dec 31 07:12:29 +0000 2019,72898202,#BayBridge Eastbound #I80 before the Toll Plaza. All lanes are being held so a tow truck can safely hook up a bus. #KCBSTraffic
Tue Dec 31 06:51:08 +0000 2019,72898202,#CarquinezBridge has a 3-vehicle accident mid-span. Trafic is slow from #Crockett. #KCBSTraffic
Tue Dec 31 02:48:51 +0000 2019,72898202,#Oakland #I880 northbound past #66thAvenue a crash is blocking the middle lanes. Northbound traffic is bumper-to-bumper from #Davis. The CHO gas issued a sever traffic alert. #I580 is your best alternate. #KCBSTraffic
Tue Dec 31 02:43:49 +0000 2019,72898202,#CarquinezBridge There is a stall eastbound right before the toll plaza blocking the right lane. #I80 is open but traffic remains backed up from #Hwy4. #KCBSTraffic
Tue Dec 31 02:10:28 +0000 2019,72898202,#SanLeandro A 3-car crash is blocking the left lane #I880 southbound before #Marina. #KCBSTraffic
Tue Dec 31 02:08:46 +0000 2019,72898202,#Martinez #Hwy4 eastbound past #CummingsSkyway there is a car that went off the right side of the road and is hanging off the side of a cliff. Traffic is moving slowly from the golf course. #KCBSTraffic
Tue Dec 31 01:56:34 +0000 2019,72898202,We just learned that the TWO right lanes are blocked. Traffic is crawling from #MarinCity. #KCBSTraffic
Tue Dec 31 01:54:33 +0000 2019,72898202,#Vallejo Good news! All lanes of #I80 have reopened in both directions at #MagazineStreet. #KCBSTraffic
Tue Dec 31 01:42:06 +0000 2019,72898202,Westbound traffic on the #BayBridge is moving at the speed limit from the toll plaza to #FremontStreet. But now there's a non-injury motorcycle crash on #I80 westbound before 9th Street. The left lane is blocked. #KCBSTraffic
Tue Dec 31 01:09:43 +0000 2019,72898202,This crash was just moved to the right shoulder.
Tue Dec 31 01:08:38 +0000 2019,72898202,"#Milpitas There's a 2-car crash on #Hwy237 eastbound at #Zanker. One car on the right shoulder, the other blocking the 2nd lane from the left. #KCBSTraffic"
Tue Dec 31 00:59:46 +0000 2019,72898202,All northbound roads through #ThePresdio of SanFrancisco are jammed with traffic heading to the #GoldenGateBridge. Private vehicles are NOT allowed to park at the vista points between 11am and 5pm through Wednesday January 1st. #KCBSTraffic
Tue Dec 31 00:49:24 +0000 2019,72898202,UPDATE: The westbound lanes of #I80 are now cvlosed at #MagazineStreet and eastbound lanes remain closed.
Tue Dec 31 00:32:59 +0000 2019,72898202,Looks like this one has been cleared.
Tue Dec 31 00:26:01 +0000 2019,72898202,#Marin A rockslide on #Hwy101 southbound at #Spencer. The right lane is shut down until the boulder can be moved. #KCBSTraffic
Tue Dec 31 00:24:23 +0000 2019,72898202,#Marin There's an accident blocking the left lanes on #Hwy101 northbound before #NorthSanPedro. Traffic is jammed from #CorteMadera. #KCBSTraffic
Tue Dec 31 00:13:48 +0000 2019,72898202,#Vacavile A 5-vehicle crash is blocking the left lanes on #I80 westbound before #CherryGlen. Traffic is jammed up from before #I505. #KCBSTraffic
Tue Dec 31 00:11:00 +0000 2019,72898202,Police activity in Vallejo #I80 eastbound at #MagazineStreet. Traffic is at a standstill from before #CummingsSkyway. Eastbound traffic is being taken off at Magazine. Westbound #I80 is moving at the speed limit. #KCBSTraffic
Tue Dec 31 00:00:00 +0000 2019,72898202,2019 will go down in the record book as one of the worst years ever for pedestrians in the South Bay when it comes to fatal accidents. @KCBSRadio Jennifer Hodges reports
Mon Dec 30 23:25:27 +0000 2019,72898202,Police Activity in #Vallejo: ALL LANES SHUT DOWN eastbound #I80 at Magazine Street. Traffic is being diverted. #KCBSTraffic #Waze
Mon Dec 30 23:08:00 +0000 2019,72898202,The Santa Clara Valley Transportation Authority is offering free rides to passengers through the end of the year. @KCBSRadio Keith Menconi says it’s an effort to promote major changes to the agency’s bus and light rail lines.
Mon Dec 30 22:55:43 +0000 2019,72898202,Watch out for a 2 vehicle accident on eastbound #I580 before Hopyard in #Pleasanton blocking the 2nd lane from the left. Traffic is backed up to the #DublinGrade. #KCBSTraffic #Waze
Mon Dec 30 22:43:03 +0000 2019,72898202,Slow going on northbound #I680 through #WalnutCreek. A two car crash just past the Treat exit is on the right shoulder. #KCBSTraffic #Waze
Mon Dec 30 21:53:12 +0000 2019,72898202,"A 5 car collision on northbound #Hwy101 after 3rd St. is backing up the ride into #SanFrancisco. All vehicles are on the right shoulder, but expect delays. #KCBSTraffic #Waze"
Mon Dec 30 21:47:31 +0000 2019,72898202,"A solo vehicle crash in #SanJose is backing up traffic on southbound #Hwy101 just after the Yerba Buena exit. The car is on the right shoulder, but watch for debris scattered across the lanes. #KCBSTraffic #Waze"
Mon Dec 30 21:32:57 +0000 2019,72898202,Traffic stacking up on northbound #I680 in #PleasantHill and #WalnutCreek behind a crash on the connector to northbound 242. The vehicles involved have all made it over the right hand shoulder. #KCBSTraffic #Waze
Mon Dec 30 21:24:26 +0000 2019,72898202,Minor slowing on northbound #101 through #MenloPark approaching a car fire before Marsh Rd. Emergency crews have the right lane blocked. #KCBSTraffic #Waze
Mon Dec 30 21:11:00 +0000 2019,72898202,2019 One of the Worst Years for Fatal Pedestrian Accidents in the South Bay
Mon Dec 30 20:45:05 +0000 2019,72898202,#SanFrancisco: NB Hwy-101 slows from just north of I-280 all the way onto the eastbound Skyway (I-80). Finally picks up just before you get on the #LowerDeck of the #Bay Bridge. #KCBSTraffic #Waze
Mon Dec 30 20:21:40 +0000 2019,72898202,Afternoon #VTA shuttle buses serving Great America and the #ACETrain will run 20 minutes earlier than their normally scheduled times today. That’s due to the Redbox Bowl taking place at Levi’s Stadium (kickoff at 1pm). #KCBSTraffic
Mon Dec 30 20:09:00 +0000 2019,72898202,South Bay's #VTA Offering Free Rides Through the End of the Year
Mon Dec 30 20:05:36 +0000 2019,72898202,"#PachecoPassHwy/Hwy152 west of Lovers Lane, Caltrans guardrail repair work SHOULD BE wrapping about right about now. Drivers could use the relief, since one-way traffic control has created an EB backup from well before Bloomfield Ave &amp; a WB backup from before San Felipe Rd."
Mon Dec 30 19:32:42 +0000 2019,72898202,"East of #Livermore: WB I-580 before N Flynn Rd, 2 car crash in center divide. Traffic slows for 2 miles behind the crash. #KCBSTraffic #Waze"
Mon Dec 30 18:30:00 +0000 2019,72898202,2019 will go down in the record book as one of the worst years ever for pedestrians in the South Bay when it comes to fatal accidents. @KCBSRadio Jennifer Hodges reports. https://kcbsradio.radio.com/media/audio-channel/2019-one-of-the-worst-years-for-fatal-pedestrian-accidents-in-the-south-bay
Mon Dec 30 18:24:23 +0000 2019,72898202,"#Tracy: WB I-205 before MacArthur Drive, right lane closed while crews work to recover a big rig that went off the freeway in an early-morning crash. Traffic is backed up solidly from the SB I-5 connector ramp. #KCBSTraaffic #Waze"
Mon Dec 30 17:48:30 +0000 2019,72898202,The Santa Clara Valley Transportation Authority is offering free rides to passengers through the end of the year. @KCBSRadio Keith Menconi says it’s an effort to promote major changes to the agency’s bus and light rail lines that begin today. https://kcbsradio.radio.com/media/audio-channel/south-bays-vta-offering-free-rides-through-the-end-of-the-year
Mon Dec 30 17:47:30 +0000 2019,72898202,"#SonomaCounty #SearsPoint: Hwy-37 at Hwy-121, traffic signal lights are malfunctioning. CHP is directing traffic &amp; a Caltrans repair crew has arrived. Traffic situation was worse earlier — it’s still slow on WB 37 for 2+ miles approaching the Richard Jansen / Fresh Air Bridge."
Mon Dec 30 16:45:28 +0000 2019,72898202,"#SanFrancisco: Power has largely been restored to the Balboa Park &amp; Excelsior neighborhoods (PG&amp;E says less than 400 stragglers should be back on-line by 9:45am). At its height, the outage affected a few thousand people. Still seeing a random signal light out? Still a 4-way stop."
Mon Dec 30 16:36:21 +0000 2019,72898202,"#Fairfield update: WB I-80 at Air Base Parkway, 2 car injury crash is on the shoulder and the lanes are clear. Traffic is still backed up for nearly 3 miles (starts well before Manuel Campos Parkway) – but that should start to improve now. #KCBSTraffic #Waze"
Mon Dec 30 16:27:57 +0000 2019,72898202,"#Fairfield: WB I-80 at Air Base Parkway, the 3 left lanes (of 5) are blocked by emergency crews tending to a 2 car injury crash. Traffic is backed up from well before Manuel Campos Parkway (backup of about 2.5 miles). #KCBSTraffic #Waze"
Mon Dec 30 15:58:38 +0000 2019,72898202,#SanFrancisco: A power outage is affecting the Balboa Park and Excelsior neighborhoods and all good California motorists know what that means: You want to treat any intersection with the lights out as a 4-way stop. #ThingsWeAllKnowRight? #KCBSTraffic
Mon Dec 30 15:35:23 +0000 2019,72898202,"#Sunnyvale update: SB Hwy-101 between Fair Oaks Ave &amp; Lawrence Expwy, earlier crash that blocked 3 lanes has cleared and traffic has quickly recovered. #KCBSTraffic #Waze"
Mon Dec 30 15:32:41 +0000 2019,72898202,#ValleyTransportationAuthority Alert canceled: #VTA Green Line light rail service has resumed between Winchester and Hamilton Stations following an earlier power outage.
Mon Dec 30 15:04:05 +0000 2019,72898202,"#ValleyTransportationAuthority Alert: #VTA says that due to a power outage, there is currently no light rail service between Winchester and Hamilton Stations. A bus bridge will operate between Winchester and Bascom Stations. More info as it becomes available."
Mon Dec 30 14:43:11 +0000 2019,72898202,"#Tracy: WB I-205 before MacArthur Drive, crash inv’ing a pair of big rigs has been cleared to the shoulder — but it was blocking the right lane for awhile, hence the 3.8-mile backup. After the AM commute is over, crews may need to close the right lane again. #KCBSTraffic #Waze"
Mon Dec 30 14:14:38 +0000 2019,72898202,"#Sunnyvale: SB Hwy-101 before between Fair Oaks Ave &amp; the Lawrence Expwy, 2 car injury crash blocks the 3 right lanes, traffic getting by in the left lane. ‘Bout a half-mile backup so far. #KCBSTraffic #Waze"
Mon Dec 30 13:39:56 +0000 2019,72898202,"In #Tracy, just a smidgen of slowing on WB I-205 approaching I-580. In the #AltamontPass. WB I-580 slows from I-205 for about two miles. Past that, it’s clear sailing into #Livermore &amp; #Pleasanton. #KCBSTraffic #Waze"
Mon Dec 30 09:52:16 +0000 2019,72898202,"#SanJose #101 Nothbound before #BrokawRd. , all lanes have been re-opened, after an earlier fatal accident had closed all northbound lanes. @KCBSAMFMTraffic @KCBSRadio"
